"","Group","time","contrast","emmean","SE","df","lower.CL","upper.CL"
"1","A","final_",".",50.994725,0.372736558740208,200,49.6567618455759,52.3326881544241
"2","B","final_",".",51.5990070712121,0.224768601998097,200,50.7921849318403,52.405829210584
"3","C","final_",".",49.0711666672727,0.389310638606933,200,47.6737097292093,50.4686236053361
"4","CNT","final_",".",51.116581667,0.288720496904697,200,50.0801998640153,52.1529634699847
"5","D","final_",".",50.1490314813889,0.215199552525474,200,49.3765580940163,50.9215048687614
"6","A","initial",".",52.821425,0.456507188697219,200,51.1827614885082,54.4600885114918
"7","B","initial",".",52.821425,0.456507188697219,200,51.1827614885082,54.4600885114918
"8","C","initial",".",52.821425,0.456507188697219,200,51.1827614885082,54.4600885114918
"9","CNT","initial",".",52.821425,0.456507188697219,200,51.1827614885082,54.4600885114918
"10","D","initial",".",52.821425,0.456507188697219,200,51.1827614885082,54.4600885114918
"11","A","post",".",51.8863190471429,0.488026712772672,200,50.1345140665114,53.6381240277744
"12","B","post",".",52.2035666670588,0.31316134787583,200,51.0794527720768,53.3276805620408
"13","C","post",".",52.2342714285714,0.488026712772672,200,50.4824664479399,53.9860764092029
"14","CNT","post",".",51.1672466666667,0.333385713216979,200,49.9705360407937,52.3639572925396
"15","D","post",".",51.9465372547059,0.313161347875829,200,50.8224233597239,53.0706511496879
"16",".",".","A final_ - B final_",-0.604282071212117,0.435262526144478,200,-2.16668642578138,0.95812228335715
"17",".",".","A final_ - C final_",1.92355833272729,0.538976173456705,200,-0.0111331921257281,3.85824985758031
"18",".",".","A final_ - CNT final_",-0.121856666999994,0.471478597132878,200,-1.81426106434548,1.57054773034549
"19",".",".","A final_ - D final_",0.845693518611118,0.430399105050948,200,-0.699253256133984,2.39064029335622
"20",".",".","A final_ - A initial",-1.8267,0.589348246416099,200,-3.94220549668185,0.288805496681863
"21",".",".","A final_ - B initial",-1.8267,0.589348246416099,200,-3.94220549668186,0.288805496681864
"22",".",".","A final_ - C initial",-1.82669999999998,0.5893482464161,200,-3.94220549668184,0.288805496681881
"23",".",".","A final_ - CNT initial",-1.82669999999999,0.589348246416099,200,-3.94220549668185,0.288805496681864
"24",".",".","A final_ - D initial",-1.8267,0.589348246416099,200,-3.94220549668186,0.288805496681864
"25",".",".","A final_ - A post",-0.891594047142892,0.614086813570518,200,-3.09590030825132,1.31271221396553
"26",".",".","A final_ - B post",-1.20884166705881,0.486829099402346,200,-2.95634773328236,0.538664399164734
"27",".",".","A final_ - C post",-1.23954642857141,0.614086813570519,200,-3.44385268967984,0.964759832537021
"28",".",".","A final_ - CNT post",-0.172521666666663,0.500078569825469,200,-1.96758760547606,1.62254427214273
"29",".",".","A final_ - D post",-0.951812254705878,0.486829099402345,200,-2.69931832092942,0.795693811517666
"30",".",".","B final_ - C final_",2.52784040393941,0.449537203996196,200,0.914196125195746,4.14148468268307
"31",".",".","B final_ - CNT final_",0.482425404212123,0.365896774756316,200,-0.83098588176741,1.79583669019166
"32",".",".","B final_ - D final_",1.44997558982323,0.311178038832022,200,0.33298091715046,2.56697026249601
"33",".",".","B final_ - A initial",-1.22241792878788,0.508841564513373,200,-3.04893923128485,0.604103373709092
"34",".",".","B final_ - B initial",-1.22241792878788,0.508841564513373,200,-3.04893923128485,0.60410337370909
"35",".",".","B final_ - C initial",-1.22241792878786,0.508841564513373,200,-3.04893923128484,0.604103373709106
"36",".",".","B final_ - CNT initial",-1.22241792878788,0.508841564513373,200,-3.04893923128485,0.604103373709093
"37",".",".","B final_ - D initial",-1.22241792878788,0.508841564513373,200,-3.04893923128485,0.604103373709092
"38",".",".","B final_ - A post",-0.287311975930775,0.537299727176442,200,-2.21598578317395,1.6413618313124
"39",".",".","B final_ - B post",-0.604559595846697,0.385474972271334,200,-1.9882481494859,0.77912895779251
"40",".",".","B final_ - C post",-0.635264357359295,0.537299727176442,200,-2.56393816460247,1.29340944988388
"41",".",".","B final_ - CNT post",0.431760404545454,0.402078298620272,200,-1.01152691496432,1.87504772405523
"42",".",".","B final_ - D post",-0.347530183493761,0.385474972271333,200,-1.73121873713296,1.03615837014544
"43",".",".","C final_ - CNT final_",-2.04541499972728,0.484687836308519,200,-3.78523485686753,-0.305595142587041
"44",".",".","C final_ - D final_",-1.07786481411617,0.444829878425115,200,-2.67461182849899,0.518882200266645
"45",".",".","C final_ - A initial",-3.75025833272728,0.599967988033342,200,-5.90388411211337,-1.5966325533412
"46",".",".","C final_ - B initial",-3.75025833272729,0.599967988033342,200,-5.90388411211337,-1.5966325533412
"47",".",".","C final_ - C initial",-3.75025833272727,0.599967988033341,200,-5.90388411211335,-1.59663255334119
"48",".",".","C final_ - CNT initial",-3.75025833272728,0.599967988033343,200,-5.90388411211337,-1.5966325533412
"49",".",".","C final_ - D initial",-3.75025833272729,0.599967988033343,200,-5.90388411211337,-1.5966325533412
"50",".",".","C final_ - A post",-2.81515237987018,0.624285868582847,200,-5.05606884058597,-0.574235919154391
