Group,Sample,length_mm,mass_g,coulter1,count1,coulter2,count2,coulter3,count3,avg_coulter,avg_count,ab540,RBC_mm,column_mm,PCV,conc_HB_mgml,conc_HB_gmdL,hemo_rawcount,avgcell_count,conc_cells_mm3,MEH,MEV,MEHC
A,A1-1,143,8.7,53.887,24749,53.887,24447,52.0603,25010,53.2781,24735.33333,0.14,12,46,26,79.10695363,7.910695363,120,24,600000,131.8449227,433.3333333,30.4257514
A,A1-2,126,6.1,50.2336,17407,50.2336,17053,50.2336,17339,50.2336,17266.33333,,12,42,29,,,72,14.4,360000,,805.5555556,
A,A1-3,133,6.6,48.4069,9031,48.4069,8263,50.2336,8598,49.0158,8630.666667,,5,23,22,,,,,,,,
A,A1-4,130,7.1,52.0603,30396,52.0603,31022,52.0603,31608,52.0603,31008.66667,0.197,6,20.5,29,111.7860927,11.17860927,105,21,525000,212.9258909,552.3809524,38.54692853
A,A2-1,150,10.4,52.0603,47134,50.2336,47126,52.0603,46960,51.4514,47073.33333,0.219,10,42,24,124.3990938,12.43990938,209,41.8,1045000,119.042195,229.6650718,51.83295575
A,A2-2,119,5.3,50.2336,51520,50.2336,51344,50.2336,51412,50.2336,51425.33333,,3,18,17,,,62,12.4,310000,,548.3870968,
A,A2-3,145,9.3,52.0603,39418,50.2336,38540,50.2336,38709,50.8425,38889,0.103,11,50,22,57.89417912,5.789417912,63,12.6,315000,183.7910448,698.4126984,26.31553596
A,A2-4,113,4.6,50.2336,33566,50.2336,33282,50.2336,33099,50.2336,33315.66667,,7.5,27,28,,,87,17.4,435000,,643.6781609,
A,A3-1,121,5.4,52.0603,38255,52.0603,36259,53.887,33515,52.6692,36009.66667,0.076,4.5,21,21,42.41458691,4.241458691,160,32,800000,53.01823364,262.5,20.19742234
A,A3-2,129,6.5,50.2336,44762,52.0603,45033,50.2336,44607,50.8425,44800.66667,0.134,8,34,24,75.66704425,7.566704425,151,30.2,755000,100.2212507,317.8807947,31.5279351
A,A3-3,136,8.5,50.2336,38717,52.0603,38412,50.2336,38354,50.8425,38494.33333,0.109,10,36,28,61.3340885,6.13340885,128,25.6,640000,95.83451328,437.5,21.90503161
A,A3-4,112,4.8,50.2336,41535,50.2336,41985,50.2336,42173,50.2336,41897.66667,,5,29.5,17,,,64,12.8,320000,,531.25,
C,C1-1,134,8,52.0603,71190,50.2336,58794,50.2336,55919,50.8425,61967.66667,,10,53,19,,,120,24,600000,,316.6666667,
C,C1-2,127,6,48.4069,23820,48.4069,23752,48.4069,23651,48.4069,23741,0.145,7,39,18,81.97354478,8.197354478,81,16.2,405000,202.4038143,444.4444444,45.54085821
C,C1-3,123,5.9,73.9804,18498,73.9804,18287,72.1537,18095,73.3715,18293.33333,0.109,,,,61.3340885,6.13340885,41,8.2,205000,299.1906756,,
